patient_ssn,patient_firstName,patient_lastName,patient_country,patient_address1,patient_address2,patient_number1,patient_number2,patient_sex,patient_DOB,patient_DOD,patient_email,patient_height,patient_weight,patient_bloodType,patient_educationBackground,patient_employmentStatus,patient_occupation,hospital_id,hospital_name,hospital_address,hospital_number,hospital_email,practitioner_id,practitioner_firstName,practitioner_lastName,practitioner_address1,practitioner_address2,practitioner_number1,practitioner_number2,practitioner_checkIn,practitioner_checkOut,nurse_id,nurse_firstName,nurse_lastName,nurse_address1,nurse_address2,nurse_number1,nurse_checkIn,nurse_checkOut,observation_id,observation_date,observation_time,observation_remark,observation_medication_id,observation_medication_remark
2354,Amy W,Sanchez,US(United States),2281 Hill Street,"Toledo, Ohio(OH), 43626",419-815-2354,419-215-3250,F,10/23/1964,10/3/2026,cory2002@hotmail.com,"5' 8""",113.1 pounds,AB+,High school diploma or GED,,Full-time work,hos_0003,hop03name,hop03add,468465138687,hop03name@yopmail.com,pract_899_002,May R ,Goins,4393 Woodland Avenue," Metairie, Louisiana(LA), 70001",985-703-3457,3--2646,1:20:00 AM,10:20:00 PM,nur_794,,,,,,2:20:00 AM,8:20:00 PM,obs_516,10/3/2010,2:40:00 AM,remark1,med_1,med_1_remark1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obs_517,,5:00:00 AM,remark2,med_2,med_1_remark2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nur_12,,,,,,,,obs_518,,,remark3,med_3,med_1_remark3
,,,,,,,,,,,,,126.1 pounds,,,,,,,,,,,,,,,,,,,,,,,,,3:20:00 AM,9:30:00 PM,obs_519,,5:20:00 AM,remark4,med_4,med_1_remark4
,,,,,,,,,,,,,,,,,,hos_4521,hop4521name,hop4521add,489-84416-44,hop4521name@yopmail.com,,,,,,,,4:20:00 AM,,,,,,,,,,obs_520,,5:45:00 AM,remark5,med_5,med_1_remark5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:20:00 AM,,obs_521,,2:20:00 PM,remark6,med_6,med_1_remark6
,,,,,,,,,,,,,,,,,,,,,,,pract_55_8498,Jennifer,Evans,3136 Star Trek Drive,"Panama City, Florida(FL), 32401",850-335-6419,386-209-5198,2:45:00 AM,10:20:00 PM,nur_85,,,,,,,,obs_522,,,remark7,med_7,med_1_remark7
,,,,1345 Thompson Drive," Portland, California(CA), 95113", 510-431-5705,714-504-8873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:20:00 AM,,obs_523,,1:20:00 AM,remark8,med_8,med_1_remark8
,,,,,,,,,,,,,85.1 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,obs_524,12/3/2012,1:45:00 AM,remark9,med_9,med_1_remark9
,,,,,,,,,,,,,,,,,,hos_4421,hop4421name,hop4421add,168465-4684,hop4421name@yopmail.com,,,,,,,,5:45:00 AM,,nur_1665,,,,,,12:20:00 AM,8:20:00 PM,obs_525,,12:50:00 AM,remark10,med_10,med_1_remark10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:40:00 PM,,,,,,,,,obs_526,,,remark11,med_11,med_1_remark11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nur_98,,,,,,,,obs_527,,12:45:00 AM,remark12,med_12,med_1_remark12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:20:00 AM,5:20:00 PM,obs_784,,6:00:00 AM,remark13,med_13,med_1_remark13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obs_785,,,remark14,med_14,med_1_remark14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:20:00 AM,,obs_786,,9:20:00 AM,remark15,med_1,med_1_remark1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obs_787,,,remark16,med_2,med_1_remark2
,,,,,,,,,,,,,,,,,,,,,,,pract_88_43,Bruce ,Sagers,1833 Haymond Rocks Road,"Eugene, Oregon(OR), 97401",541-514-2281,541-953-2384,7:20:00 AM,11:20:00 PM,,,,,,,,,obs_788,12/3/2015,,remark17,med_3,med_1_remark3
